subject,ssd,nstoptrials,n_matched_go,mean_violation,mean_stopFailureRT,mean_precedingGoRT
1,200.0,10,2,-88.0,528.5,616.5
1,250.0,20,6,-71.33333333333333,542.0,613.3333333333334
1,300.0,26,12,11.666666666666666,562.9166666666666,551.25
1,350.0,21,12,-41.416666666666664,560.4166666666666,601.8333333333334
1,400.0,14,5,-34.0,605.8,639.8
1,450.0,9,5,-296.2,580.2,876.4
10,200.0,17,3,-10.666666666666666,340.0,350.6666666666667
10,250.0,27,12,-27.75,334.8333333333333,362.5833333333333
10,300.0,24,12,-18.083333333333332,378.3333333333333,396.4166666666667
10,350.0,20,9,28.555555555555557,429.8888888888889,401.3333333333333
10,400.0,11,9,-50.333333333333336,458.44444444444446,508.77777777777777
11,0.0,6,2,-38.0,248.5,286.5
11,50.0,23,4,153.25,410.25,257.0
11,100.0,38,13,29.923076923076923,324.53846153846155,294.61538461538464
11,150.0,23,15,-14.733333333333333,284.6,299.3333333333333
11,200.0,6,4,-38.0,272.25,310.25
11,250.0,2,2,81.0,410.0,329.0
12,0.0,7,3,8.0,285.6666666666667,277.6666666666667
12,50.0,22,3,-72.0,198.0,270.0
12,100.0,38,15,19.533333333333335,318.73333333333335,299.2
12,150.0,24,19,-18.210526315789473,304.0,322.2105263157895
12,200.0,5,5,-14.4,341.4,355.8
13,100.0,22,4,338.0,743.5,405.5
13,150.0,30,12,-63.666666666666664,342.3333333333333,406.0
13,200.0,24,14,6.214285714285714,406.7142857142857,400.5
13,250.0,16,5,-43.0,334.4,377.4
13,300.0,6,5,65.6,573.8,508.2
14,200.0,20,3,-145.33333333333334,286.0,431.3333333333333
14,250.0,28,14,-24.928571428571427,369.35714285714283,394.2857142857143
14,300.0,24,10,-36.9,392.2,429.1
14,350.0,18,12,-21.916666666666668,413.0833333333333,435.0
14,400.0,7,5,-18.0,458.0,476.0
14,450.0,2,2,-88.5,432.5,521.0
16,100.0,17,6,16.0,350.6666666666667,334.6666666666667
16,150.0,32,12,-20.0,312.0,332.0
16,200.0,32,20,-24.75,333.9,358.65
16,250.0,14,11,-24.09090909090909,343.0,367.09090909090907
16,300.0,3,2,-48.0,347.0,395.0
17,350.0,5,2,-152.5,425.5,578.0
17,450.0,11,3,-67.0,636.0,703.0
17,500.0,20,6,-53.0,587.1666666666666,640.1666666666666
18,0.0,13,3,-45.666666666666664,250.66666666666666,296.3333333333333
18,50.0,31,8,0.0,287.375,287.375
18,100.0,32,19,-4.7368421052631575,310.10526315789474,314.8421052631579
18,150.0,14,9,-29.0,318.8888888888889,347.8888888888889
18,200.0,6,4,-24.25,337.5,361.75
18,250.0,2,2,50.0,350.5,300.5
19,250.0,9,3,-104.0,435.0,539.0
19,300.0,14,5,-36.8,467.6,504.4
19,350.0,20,8,-77.5,436.5,514.0
19,400.0,24,9,-11.666666666666666,487.3333333333333,499.0
19,450.0,22,7,-85.14285714285714,488.0,573.1428571428571
19,500.0,10,8,-20.0,587.25,607.25
2,50.0,21,6,57.166666666666664,359.0,301.8333333333333
2,100.0,37,14,-46.857142857142854,305.64285714285717,352.5
2,150.0,29,21,16.904761904761905,316.14285714285717,299.23809523809524
2,200.0,8,6,-3.6666666666666665,342.0,345.6666666666667
2,250.0,2,2,18.0,312.5,294.5
20,200.0,18,4,-83.5,333.25,416.75
20,250.0,30,12,-95.83333333333333,354.0833333333333,449.9166666666667
20,300.0,29,13,-6.846153846153846,373.0769230769231,379.9230769230769
20,350.0,16,11,-24.90909090909091,452.0,476.90909090909093
20,400.0,4,4,19.5,517.5,498.0
21,250.0,11,4,-48.0,376.25,424.25
21,300.0,24,4,-19.25,389.25,408.5
21,350.0,36,15,-58.0,436.06666666666666,494.06666666666666
21,400.0,24,15,-22.2,483.8,506.0
21,450.0,5,4,44.0,463.5,419.5
22,150.0,19,2,34.0,342.0,308.0
22,200.0,38,15,-27.066666666666666,342.73333333333335,369.8
22,250.0,31,20,-11.7,371.65,383.35
22,300.0,11,8,-57.5,379.125,436.625
23,0.0,18,4,107.75,365.25,257.5
23,50.0,24,12,-7.5,331.8333333333333,339.3333333333333
23,100.0,26,12,30.75,318.0,287.25
23,150.0,19,13,7.0,339.53846153846155,332.53846153846155
23,200.0,7,5,8.6,307.0,298.4
23,250.0,3,3,7.666666666666667,328.6666666666667,321.0
24,400.0,23,11,9.181818181818182,587.8181818181819,578.6363636363636
24,450.0,23,8,-37.5,587.75,625.25
24,500.0,19,12,-49.166666666666664,592.6666666666666,641.8333333333334
3,100.0,12,2,-118.0,276.0,394.0
3,150.0,26,7,-35.142857142857146,352.42857142857144,387.57142857142856
3,200.0,33,15,-69.0,347.06666666666666,416.06666666666666
3,250.0,22,15,-8.866666666666667,388.6666666666667,397.53333333333336
3,300.0,6,5,69.6,537.0,467.4
4,0.0,9,3,77.33333333333333,355.0,277.6666666666667
4,50.0,23,3,44.666666666666664,380.3333333333333,335.6666666666667
4,100.0,32,15,5.866666666666666,336.6666666666667,330.8
4,150.0,20,15,-12.4,314.3333333333333,326.73333333333335
4,200.0,7,6,-50.0,268.0,318.0
4,250.0,2,2,-16.0,276.5,292.5
5,200.0,10,2,-80.5,339.5,420.0
5,250.0,16,6,-178.83333333333334,362.3333333333333,541.1666666666666
5,300.0,16,6,-74.66666666666667,431.1666666666667,505.8333333333333
5,350.0,18,8,-37.125,448.25,485.375
5,400.0,18,8,-112.125,451.5,563.625
5,450.0,15,8,-58.625,528.375,587.0
5,500.0,8,7,-2.2857142857142856,606.8571428571429,609.1428571428571
6,50.0,11,3,172.33333333333334,419.3333333333333,247.0
6,100.0,33,8,-54.25,269.75,324.0
6,150.0,39,21,-3.0952380952380953,307.04761904761904,310.14285714285717
6,200.0,15,12,-24.0,305.4166666666667,329.4166666666667
7,300.0,16,3,-38.666666666666664,413.3333333333333,452.0
7,350.0,38,9,-65.22222222222223,414.8888888888889,480.1111111111111
7,400.0,33,24,-3.25,536.8333333333334,540.0833333333334
7,450.0,7,3,-29.333333333333332,495.0,524.3333333333334
7,500.0,2,2,-73.0,538.0,611.0
8,300.0,29,7,-17.285714285714285,412.7142857142857,430.0
8,350.0,30,13,-30.46153846153846,453.15384615384613,483.61538461538464
8,400.0,18,9,-41.44444444444444,483.55555555555554,525.0
8,450.0,10,5,14.2,573.8,559.6
8,500.0,4,4,56.0,621.0,565.0
9,200.0,25,11,-102.81818181818181,349.09090909090907,451.90909090909093
9,250.0,23,11,-46.18181818181818,423.45454545454544,469.6363636363636
9,300.0,17,7,25.571428571428573,422.85714285714283,397.2857142857143
9,350.0,12,6,5.0,457.6666666666667,452.6666666666667
9,400.0,7,3,-18.666666666666668,498.3333333333333,517.0
9,450.0,4,3,-40.333333333333336,394.3333333333333,434.6666666666667
