low_subject,low_ssd,low_nstoptrials,low_n_matched_go,low_mean_violation,low_mean_stopFailureRT,low_mean_precedingGoRT,low_condition,high_subject,high_ssd,high_nstoptrials,high_n_matched_go,high_mean_violation,high_mean_stopFailureRT,high_mean_precedingGoRT,high_condition
1,150.0,15.0,2.0,-194.5,447.5,642.0,low,1,125.0,16.0,2.5,-42.41666666666667,325.5,367.91666666666663,high
3,100.0,57.0,24.333333333333332,-26.585879806468043,300.2766743060861,326.8625541125541,low,3,100.0,64.0,17.333333333333332,-23.008615136876006,330.8747181964573,353.8833333333334,high
5,100.0,43.0,16.666666666666668,30.48076923076923,430.44871794871796,399.96794871794873,low,5,125.0,9.5,2.0,111.25,644.5,533.25,high
6,125.0,39.5,9.5,4.842857142857142,406.54285714285714,401.7,low,6,150.0,49.0,5.0,-109.0,324.6,433.6,high
8,100.0,51.333333333333336,20.0,-22.313725490196077,372.18082788671023,394.49455337690625,low,8,100.0,123.33333333333333,35.666666666666664,-22.48419540229885,343.068144499179,365.5523399014778,high
9,150.0,27.0,9.0,-63.888888888888886,386.6666666666667,450.55555555555554,low,9,150.0,27.0,2.0,106.0,526.5,420.5,high
11,100.0,11.333333333333334,2.3333333333333335,97.33333333333333,730.1666666666666,632.8333333333334,low,11,100.0,3.0,2.0,486.5,1166.0,679.5,high
13,125.0,57.0,18.0,3.7166666666666686,356.4666666666667,352.75,low,13,150.0,39.0,7.0,52.285714285714285,541.2857142857143,489.0,high
14,100.0,33.333333333333336,10.666666666666666,15.585858585858587,442.22222222222223,426.6363636363637,low,14,100.0,55.666666666666664,16.666666666666668,-13.297827903091061,422.0258145363409,435.3236424394319,high
16,125.0,12.0,4.0,68.2,612.3333333333333,544.1333333333333,low,16,150.0,15.0,3.0,63.333333333333336,534.3333333333334,471.0,high
18,100.0,59.666666666666664,28.666666666666668,-21.4810405643739,316.4895061728395,337.9705467372134,low,18,100.0,89.33333333333333,36.666666666666664,-8.067895584371557,324.3361047546402,332.4040003390118,high
19,125.0,36.0,9.0,-27.833333333333336,363.43333333333334,391.26666666666665,low,19,150.0,14.0,2.0,-1.0,345.0,346.0,high
20,100.0,31.0,9.333333333333334,18.595238095238095,448.4190476190476,429.82380952380953,low,20,150.0,81.0,10.0,22.9,438.3,415.4,high
21,150.0,31.0,4.0,6.25,453.0,446.75,low,21,150.0,29.0,4.0,82.0,493.75,411.75,high
22,150.0,47.0,13.0,-30.076923076923077,382.15384615384613,412.2307692307692,low,22,125.0,75.0,11.5,-46.67857142857143,347.5238095238095,394.20238095238096,high
24,100.0,48.333333333333336,17.666666666666668,24.37121212121212,482.4199134199134,458.04870129870125,low,24,100.0,62.666666666666664,12.666666666666666,110.65432098765433,475.8950617283951,365.2407407407407,high
40,125.0,17.0,7.5,-14.454545454545455,446.77272727272725,461.22727272727275,low,40,150.0,15.0,2.0,14.5,474.5,460.0,high
62,125.0,9.0,3.0,1.6666666666666679,469.1666666666667,467.5,low,62,150.0,16.0,2.0,42.5,545.0,502.5,high
63,125.0,19.5,7.0,10.291666666666668,534.625,524.3333333333334,low,63,125.0,14.5,4.5,-71.57142857142857,519.0714285714286,590.6428571428571,high
72,150.0,19.0,2.0,71.0,453.0,382.0,low,72,150.0,20.0,3.0,1.0,459.3333333333333,458.3333333333333,high
78,150.0,8.0,4.0,-106.75,508.25,615.0,low,78,75.0,29.25,9.5,50.675,526.55,475.875,high
82,150.0,7.0,4.0,-31.75,443.5,475.25,low,82,150.0,14.0,3.0,125.33333333333333,579.3333333333334,454.0,high
104,125.0,14.5,5.5,204.55,706.4666666666667,501.91666666666663,low,104,83.33333333333333,17.666666666666668,5.333333333333333,69.7063492063492,633.8730158730159,564.1666666666666,high
133,0.0,6.0,4.0,89.5,657.75,568.25,low,133,0.0,7.0,3.0,100.33333333333333,680.3333333333334,580.0,high
147,150.0,12.0,6.0,-27.166666666666668,421.8333333333333,449.0,low,147,150.0,16.0,4.0,3.0,505.75,502.75,high
152,100.0,9.0,2.6666666666666665,1.5833333333333333,474.75,473.1666666666667,low,152,150.0,17.0,4.0,6.25,475.5,469.25,high
168,125.0,15.5,5.0,-47.5625,384.4375,432.0,low,168,75.0,6.5,3.5,43.04166666666667,378.16666666666663,335.125,high
174,150.0,9.0,2.0,33.0,510.5,477.5,low,174,150.0,15.0,3.0,-24.666666666666668,434.6666666666667,459.3333333333333,high
195,125.0,9.5,3.0,-16.5,446.25,462.75,low,195,150.0,25.0,6.0,-47.166666666666664,373.3333333333333,420.5,high
196,125.0,12.0,5.0,23.25,431.95833333333337,408.70833333333337,low,196,150.0,15.0,3.0,-151.33333333333334,409.0,560.3333333333334,high
209,150.0,5.0,3.0,-60.333333333333336,424.6666666666667,485.0,low,209,75.0,14.75,3.0,47.5625,545.75,498.1875,high
213,83.33333333333333,9.666666666666666,4.0,45.6,571.2666666666667,525.6666666666666,low,213,150.0,33.0,7.0,-65.28571428571429,492.7142857142857,558.0,high
219,100.0,14.0,6.0,73.18055555555556,553.4861111111111,480.3055555555556,low,219,100.0,9.0,2.6666666666666665,62.666666666666664,545.9166666666666,483.25,high
229,125.0,21.5,9.5,-11.464285714285715,437.1928571428572,448.65714285714284,low,229,150.0,14.0,3.0,-47.333333333333336,418.6666666666667,466.0,high
240,150.0,10.0,3.0,-67.0,600.3333333333334,667.3333333333334,low,240,75.0,15.25,3.5,79.90625,630.5625,550.65625,high
241,75.0,7.75,3.5,123.2,613.65,490.45,low,241,150.0,6.0,2.0,-11.5,501.0,512.5,high
261,150.0,16.0,7.0,13.857142857142858,491.7142857142857,477.85714285714283,low,261,100.0,8.0,2.0,50.5,469.0,418.5,high
263,150.0,16.0,8.0,20.25,441.0,420.75,low,263,150.0,38.0,2.0,-117.0,344.5,461.5,high
264,125.0,21.0,7.0,-45.916666666666664,424.95833333333337,470.875,low,264,150.0,30.0,7.0,0.42857142857142855,471.0,470.57142857142856,high
265,125.0,18.5,6.5,73.04545454545455,529.5454545454545,456.5,low,265,150.0,11.0,2.0,17.5,577.5,560.0,high
271,0.0,12.0,7.0,12.571428571428571,748.8571428571429,736.2857142857143,low,271,50.0,14.666666666666666,6.666666666666667,86.47916666666667,868.0416666666666,781.5625,high
295,75.0,7.0,2.0,4.0,407.25,403.25,low,295,150.0,11.0,4.0,109.5,498.25,388.75,high
312,150.0,9.0,4.0,-57.5,365.5,423.0,low,312,150.0,19.0,5.0,62.6,447.4,384.8,high
317,150.0,17.0,6.0,-14.0,418.1666666666667,432.1666666666667,low,317,75.0,21.25,6.0,-42.21666666666667,347.31666666666666,389.53333333333336,high
321,150.0,23.0,6.0,92.16666666666667,691.6666666666666,599.5,low,321,150.0,9.0,2.0,80.0,548.0,468.0,high
333,0.0,16.0,14.0,32.92857142857143,619.1428571428571,586.2142857142857,low,333,0.0,23.0,14.0,-8.071428571428571,672.5,680.5714285714286,high
338,75.0,12.25,5.0,46.48392857142857,568.1517857142857,521.6678571428571,low,338,150.0,17.0,2.0,32.0,496.0,464.0,high
360,150.0,8.0,2.0,-18.0,439.5,457.5,low,360,150.0,15.0,2.0,123.0,553.0,430.0,high
362,150.0,15.0,3.0,-49.333333333333336,471.6666666666667,521.0,low,362,150.0,15.0,3.0,-96.66666666666667,416.0,512.6666666666666,high
370,125.0,14.5,5.0,79.26190476190476,550.6190476190476,471.3571428571429,low,370,125.0,16.0,4.5,-39.0,510.5357142857143,549.5357142857142,high
382,75.0,12.0,5.25,-1.4583333333333357,493.85416666666663,495.3125,low,382,125.0,14.0,2.0,22.0,454.25,432.25,high
401,150.0,16.0,5.0,-21.2,381.2,402.4,low,401,150.0,13.0,3.0,-71.33333333333333,366.3333333333333,437.6666666666667,high
411,150.0,19.0,3.0,47.666666666666664,498.6666666666667,451.0,low,411,150.0,7.0,2.0,71.0,575.0,504.0,high
412,125.0,13.5,4.5,27.75,498.57142857142856,470.82142857142856,low,412,83.33333333333333,17.333333333333332,5.0,-15.511111111111113,499.0333333333333,514.5444444444444,high
420,100.0,16.333333333333332,7.0,10.662962962962963,453.05925925925925,442.39629629629627,low,420,75.0,28.75,8.75,42.25865800865802,444.42839105339107,402.1697330447331,high
431,75.0,9.5,4.5,15.357142857142858,557.8928571428571,542.5357142857142,low,431,66.66666666666667,8.0,2.6666666666666665,186.0,707.2222222222223,521.2222222222222,high
434,150.0,10.0,2.0,50.0,594.0,544.0,low,434,150.0,5.0,2.0,43.5,538.0,494.5,high
436,83.33333333333333,7.333333333333333,3.6666666666666665,-12.083333333333334,473.0,485.0833333333333,low,436,75.0,14.75,4.5,-41.0375,476.875,517.9124999999999,high
451,150.0,25.0,8.0,30.0,489.0,459.0,low,451,150.0,32.0,2.0,17.0,420.0,403.0,high
455,125.0,15.0,5.0,78.35714285714286,509.54761904761904,431.1904761904762,low,455,125.0,7.5,2.0,-83.5,537.0,620.5,high
478,150.0,15.0,3.0,-87.33333333333333,506.6666666666667,594.0,low,478,150.0,6.0,2.0,-41.5,535.5,577.0,high
505,150.0,15.0,6.0,-51.333333333333336,379.0,430.3333333333333,low,505,150.0,19.0,5.0,11.4,479.8,468.4,high
519,125.0,14.5,4.5,11.892857142857142,544.3928571428571,532.5,low,519,125.0,12.5,3.5,203.65,781.9,578.25,high
523,125.0,12.5,4.0,102.3,683.0,580.7,low,523,75.0,8.75,3.0,173.8125,714.0,540.1875,high
531,150.0,12.0,2.0,-228.5,398.5,627.0,low,531,150.0,12.0,2.0,-14.5,527.5,542.0,high
533,125.0,10.5,3.0,61.875,520.5,458.625,low,533,75.0,16.25,5.25,-17.655555555555555,456.57222222222225,474.2277777777778,high
536,125.0,10.5,5.0,66.91666666666667,497.25,430.33333333333337,low,536,150.0,17.0,3.0,90.0,577.0,487.0,high
538,100.0,14.666666666666666,6.333333333333333,37.02222222222222,467.67777777777775,430.65555555555557,low,538,125.0,31.5,7.0,26.242424242424242,452.1363636363636,425.8939393939394,high
563,150.0,17.0,6.0,59.166666666666664,480.3333333333333,421.1666666666667,low,563,150.0,18.0,2.0,-50.5,515.0,565.5,high
583,100.0,16.0,7.0,25.914814814814815,564.2777777777778,538.362962962963,low,583,125.0,20.5,4.5,66.25,579.5357142857142,513.2857142857142,high
