ssd,nstoptrials,n_matched_go,mean_violation,mean_stopFailureRT,mean_precedingGoRT,condition
150.0,15.0,2.0,-194.5,447.5,642.0,manual
150.0,12.0,3.0,47.0,620.6666666666666,573.6666666666666,manual
100.0,57.0,24.333333333333332,-26.585879806468043,300.2766743060861,326.8625541125541,manual
150.0,5.0,2.0,-56.5,511.0,567.5,manual
100.0,43.0,16.666666666666668,30.48076923076923,430.44871794871796,399.96794871794873,manual
125.0,39.5,9.5,4.842857142857142,406.54285714285714,401.7,manual
100.0,51.333333333333336,20.0,-22.313725490196077,372.18082788671023,394.49455337690625,manual
150.0,27.0,9.0,-63.888888888888886,386.6666666666667,450.55555555555554,manual
100.0,11.333333333333334,2.3333333333333335,97.33333333333333,730.1666666666666,632.8333333333334,manual
125.0,57.0,18.0,3.7166666666666686,356.4666666666667,352.75,manual
100.0,33.333333333333336,10.666666666666666,15.585858585858587,442.22222222222223,426.6363636363637,manual
125.0,32.5,6.0,2.875,483.125,480.25,manual
125.0,12.0,4.0,68.2,612.3333333333333,544.1333333333333,manual
100.0,30.0,10.666666666666666,69.81944444444444,536.6388888888889,466.8194444444444,manual
100.0,59.666666666666664,28.666666666666668,-21.4810405643739,316.4895061728395,337.9705467372134,manual
125.0,36.0,9.0,-27.833333333333336,363.43333333333334,391.26666666666665,manual
100.0,31.0,9.333333333333334,18.595238095238095,448.4190476190476,429.82380952380953,manual
150.0,31.0,4.0,6.25,453.0,446.75,manual
150.0,47.0,13.0,-30.076923076923077,382.15384615384613,412.2307692307692,manual
100.0,48.333333333333336,17.666666666666668,24.37121212121212,482.4199134199134,458.04870129870125,manual
100.0,23.666666666666668,11.0,1.5308441558441557,213.4410173160173,211.91017316017314,saccade
100.0,23.666666666666668,9.666666666666666,7.962962962962963,162.002849002849,154.03988603988606,saccade
100.0,32.666666666666664,13.333333333333334,1.323062558356676,149.328197945845,148.00513538748834,saccade
100.0,29.0,14.0,-9.367857142857142,180.58214285714288,189.95000000000002,saccade
75.0,7.0,4.0,-11.75,119.91666666666667,131.66666666666669,saccade
125.0,38.0,11.0,15.85,205.8,189.95,saccade
125.0,22.0,6.0,-20.55,209.8,230.35,saccade
100.0,37.333333333333336,15.0,-1.1385620915032681,189.75450980392156,190.89307189542487,saccade
100.0,31.333333333333332,11.666666666666666,-15.227536231884057,174.4536231884058,189.68115942028984,saccade
150.0,40.0,11.0,0.0,227.0909090909091,227.0909090909091,saccade
100.0,24.0,8.333333333333334,-65.47777777777777,212.68888888888887,278.1666666666667,saccade
